name,film,boxoffice
Javier Abad,1.0,104945765.0
Marcos Martínez,1.0,104945765.0
Stuart Baird,2.0,189282042.0
Joel Coen,12.0,1050204823.0
Robert Lorenz,1.0,48963.0
Harold Becker,4.0,178321914.0
Scott Stewart,2.0,146227789.0
Patrick Gilmore,1.0,26288320.0
Tony Bill,1.0,17800000.0
Rod Lurie,5.0,63571387.0
Walter Hill,4.0,52511727.0
Jack Sholder,2.0,44827294.0
Akiva Goldsman,1.0,30800231.0
Harald Zwart,2.0,149361235.0
Walter Salles,4.0,44711486.0
Iain Softley,4.0,207344060.0
David Koepp,5.0,175548418.0
Uwe Boll,5.0,440904510.0
Soi Cheang,1.0,193677158.0
John Dahl,4.0,72158089.0
Tim Miller,1.0,783112979.0
Stephen Herek,8.0,252949546.0
Peter MacDonald,1.0,189015611.0
Anthony Hemingway,1.0,50365377.0
Sean Anders,4.0,427270797.0
Brian Taylor,4.0,267537513.0
Mark Neveldine,5.0,269322276.0
John Madden,5.0,619881479.0
Kevin Bray,2.0,82706821.0
Mike Gabriel,1.0,346079773.0
Sam Weisman,4.0,29174465.0
Jesse Dylan,3.0,318675071.0
Wayne Wang,5.0,245938046.0
Gabriele Muccino,4.0,475244988.0
Albert Magnoli,1.0,63408614.0
Tom Dey,3.0,229409341.0
Jimmy Hayward,2.0,120539000.0
Alan Parker,3.0,180002790.0
John Frankenheimer,5.0,184207633.0
Paul King,1.0,259207227.0
Akiva Schaffer,2.0,82602263.0
William Friedkin,6.0,542215589.0
Kent Alterman,1.0,33472850.0
Peter Lord,2.0,343172925.0
Jeff Newitt,1.0,118338361.0
Shekhar Kapur,3.0,186270850.0
Karyn Kusama,2.0,83860062.0
Ronald F. Maxwell,2.0,37923936.0
Robert Butler,1.0,11466088.0
Steve Antin,1.0,89519773.0
Jim Gillespie,2.0,132002436.0
Francis Ford Coppola,12.0,886044367.0
Richard Lester,5.0,278609000.0
Scott Cooper,3.0,153700310.0
Eli Roth,4.0,148069797.0
Rob Zombie,5.0,101844820.0
Jason Eisener,2.0,25786350.0
Curtis Hanson,7.0,356537406.0
Phyllida Lloyd,2.0,724798336.0
Jay Chandrasekhar,4.0,153477662.0
Terrence Malick,4.0,183336805.0
David Dobkin,4.0,247493313.0
Miloš Forman,3.0,208388734.0
Pierre Morel,4.0,302885585.0
Paul Hunter,1.0,13960630.0
Steve Oedekerk,4.0,306164534.0
John Whitesell,5.0,269105548.0
George Nolfi,1.0,127869379.0
Neil Jordan,8.0,315586129.0
Rawson Marshall Thurber,3.0,654688972.0
Spike Lee,16.0,381333532.0
Brian Helgeland,5.0,428667607.0
Frank Marshall,4.0,362420184.0
Hideo Nakata,1.0,161451538.0
Peter Hewitt,4.0,237310723.0
Joe Roth,2.0,234763908.0
Bennett Miller,2.0,159291046.0
Jaume Collet-Serra,6.0,654620771.0
Andy Fickman,6.0,547448412.0
Matthew O'Callaghan,1.0,69834815.0
Angela Robinson,2.0,66002005.0
Gary Fleder,6.0,213930126.0
Tommy Wirkola,2.0,226788137.0
Adrian Lyne,4.0,538940602.0
Stephen Gaghan,2.0,104719357.0
Jorge R. Gutierrez,1.0,97437106.0
Richard Loncraine,3.0,124312008.0
Christophe Gans,1.0,97607453.0
Howard Deutch,3.0,68093741.0
Jon Hurwitz,2.0,278482707.0
Hayden Schlossberg,2.0,278482707.0
Steven Quale,2.0,318489837.0
John Landis,6.0,500289798.0
Alexander Witt,1.0,129394835.0
Beeban Kidron,1.0,40203020.0
Carl Franklin,3.0,119277374.0
Steven Seagal,1.0,49000000.0
Danny Boyle,8.0,747592547.0
Andrew Bergman,2.0,116313039.0
Barbet Schroeder,2.0,56714148.0
Peter Webber,2.0,113636673.0
Andrew Niccol,5.0,274234941.0
John Carpenter,10.0,273918735.0
Wes Anderson,7.0,413240282.0
David Cronenberg,7.0,478363147.0
John Stockwell,4.0,113206242.0
David Gordon Green,8.0,172470803.0
Jim Sheridan,3.0,128263217.0
Costa-Gavras,2.0,10541524.0
Patrick Read Johnson,2.0,32041078.0
Richard LaGravenese,6.0,275818419.0
Danny DeVito,3.0,19322137.0
George Armitage,2.0,34892907.0
Patrick Lussier,4.0,171187664.0
James Wong,4.0,301219171.0
Richard Curtis,3.0,368380999.0
Chuck Bowman,1.0,1.0
Olivier Megaton,3.0,762878584.0
Deepa Mehta,2.0,10951359.0
